"","CPSID","county","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FSSTMPVALC","female","hispanic","black","kids","elderly","education","married","FSSTMPVALC_bin","FSSTMPVALC_bin_char"
"156","20210902236100","0",4414.84,6,51.6666666666667,1,1,1,1,1,1,310,NA,3,0,0,5,0,0,0,0,"No"
"157","20210902238500","0",4414.84,2,75,0,0,0,NA,NA,0,150,NA,1,0,0,0,1,1,0,0,"No"
"158","20210902238800","0",3676.8819,2,35,1,1,1,1,1,1,70,NA,1,0,0,0,1,0,2,0,"No"
"159","20210902239700","0",3138.0643,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,1,0,1,2,0,"No"
"160","20210902241000","0",2976.4339,2,85,0,0,0,NA,NA,0,170,NA,1,0,0,0,2,0,2,0,"No"
"161","20210902241900","0",2878.1722,1,0,1,1,1,1,1,1,0,NA,1,0,0,0,1,1,0,0,"No"
"162","20210902246400","0",3472.3697,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,2,2,0,"No"
"163","20210902246900","18105",2718.0851,2,50,1,1,1,1,NA,1,100,NA,1,0,0,0,2,1,2,0,"No"
"164","20210902248900","0",2718.0851,2,0,0,0,0,NA,NA,0,0,NA,1,0,0,0,2,0,2,0,"No"
"165","20210902250000","0",3594.8336,2,30,0,0,0,NA,NA,0,60,NA,0,0,0,0,2,1,0,0,"No"
"166","20210902251900","0",3002.2665,1,120,0,0,0,NA,NA,0,120,NA,1,0,0,0,1,1,0,0,"No"
"167","20210902253800","0",3106.6784,2,50,1,1,1,1,1,1,100,NA,1,0,0,0,2,0,2,0,"No"
"168","20210902256400","18089",3640.7393,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,"No"
"169","20210902257800","0",4922.3486,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,2,0,0,2,0,"No"
"170","20210902259100","18089",3887.5806,4,45,0,0,0,NA,NA,0,180,NA,2,0,0,2,0,2,2,0,"No"
"171","20210902259700","0",3106.6784,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,2,0,"No"
"172","20210902264700","0",5860.8753,4,27.5,0,0,0,NA,NA,0,110,NA,1,0,0,1,0,1,2,0,"No"
"173","20210902266000","0",4938.9078,3,73.3333333333333,0,0,0,NA,NA,0,220,NA,2,3,0,2,0,0,0,0,"No"
"174","20210902266200","18089",3587.048,2,60,0,0,1,0,0,0,120,NA,1,0,0,0,2,0,2,0,"No"
"175","20210902266400","0",2834.5656,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,"No"
"176","20210902266700","18039",3317.3105,4,60,0,0,1,1,0,0,240,NA,2,0,0,2,0,0,2,0,"No"
"177","20210902266900","18089",3185.3439,1,110,0,0,0,NA,NA,0,110,NA,1,0,0,0,1,1,0,0,"No"
"178","20210902267100","0",3472.3697,4,57.5,0,0,0,NA,NA,0,230,NA,1,0,0,0,1,1,2,0,"No"
"179","20210902267800","0",3060.8631,1,30,0,0,1,1,1,1,30,10,1,0,0,0,1,0,0,1,"Yes"
"180","20210902271000","0",3060.8631,2,115,0,0,0,NA,NA,0,230,NA,1,0,0,0,2,1,2,0,"No"
"181","20210902271400","0",6657.0435,2,100,0,0,1,0,0,0,200,NA,2,0,0,0,0,2,0,0,"No"
"182","20210902273100","0",3068.9481,3,6.66666666666667,0,0,1,0,0,0,20,NA,2,0,0,0,0,2,2,0,"No"
"183","20210902273600","0",2941.626,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,"No"
"184","20210902274400","0",2339.6153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,"No"
"185","20210902275100","0",2402.2967,1,100,0,0,0,NA,NA,0,100,NA,1,0,0,0,1,0,0,0,"No"
"186","20210902278700","0",2783.9361,3,0,1,1,1,0,1,1,0,NA,2,0,3,1,1,0,0,0,"No"
"187","20210902280100","0",2674.0435,2,20,0,0,0,NA,NA,0,40,NA,1,0,0,0,2,2,2,0,"No"
"188","20210902283300","0",3355.9452,2,235,0,0,0,NA,NA,0,470,NA,1,0,0,0,0,1,0,0,"No"
"189","20210902286500","0",3081.1966,5,90,0,0,0,NA,NA,0,450,NA,4,0,0,3,0,2,2,0,"No"
"190","20210902287100","0",2974.4459,2,75,0,0,0,NA,NA,0,150,NA,1,0,0,0,0,1,0,0,"No"
"191","20210902287500","0",2675.5223,3,80,0,0,0,NA,NA,0,240,NA,1,0,0,0,1,0,0,0,"No"
"192","20210902289500","0",2340.3506,1,40,0,0,1,0,0,0,40,NA,0,0,0,0,1,0,0,0,"No"
"193","20210902290400","0",3198.8916,1,20,0,0,0,NA,NA,0,20,NA,0,0,0,0,0,1,0,0,"No"
"194","20210902291300","0",2052.8792,1,60,0,0,0,NA,NA,0,60,NA,1,0,0,0,1,0,0,0,"No"
"195","20210902292200","0",2122.9651,4,95,0,0,0,NA,NA,0,380,NA,1,0,0,0,1,3,2,0,"No"
"196","20210902294700","0",2798.6046,1,100,0,0,0,NA,NA,0,100,NA,0,0,0,0,0,1,0,0,"No"
"197","20210902297400","0",2782.2466,1,200,0,0,0,0,0,0,200,NA,1,0,0,0,0,1,0,0,"No"
"198","20210902298000","0",2389.5702,3,66.6666666666667,0,1,1,1,NA,0,200,NA,1,0,0,2,0,0,0,0,"No"
"199","20210902299700","0",2389.5702,9,43.3333333333333,1,1,1,1,1,1,390,750,3,0,0,7,0,0,2,1,"Yes"
"200","20210902301900","0",2389.5702,4,102.5,0,0,0,NA,NA,0,410,NA,1,0,0,2,0,1,2,0,"No"
"201","20210902304400","0",2311.768,2,65,0,0,0,0,0,0,130,NA,1,0,0,0,2,0,2,0,"No"
"202","20210902305000","0",2622.5652,2,55,0,0,0,NA,NA,0,110,NA,1,0,0,0,0,1,2,0,"No"
"203","20210902306600","0",2713.9529,1,200,0,0,0,NA,NA,0,200,NA,0,0,0,0,0,1,0,0,"No"
"204","20210902307200","0",2967.0063,3,100,1,0,1,1,1,1,300,250,2,0,0,1,0,0,0,1,"Yes"
"205","20210902308400","0",3357.801,2,185,0,0,1,0,0,0,370,NA,1,0,0,0,0,1,2,0,"No"
"206","20210902311200","0",2944.7133,3,50,0,0,0,NA,NA,0,150,NA,1,0,0,1,0,2,2,0,"No"
"207","20210902312900","0",3228.5415,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,"No"
"208","20210902313800","0",3829.2948,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,6,5,0,1,0,0,"No"
"209","20210902315000","0",2340.8594,1,80,0,0,0,NA,NA,0,80,NA,1,0,0,0,1,1,0,0,"No"
"210","20210902315800","0",2990.4616,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,3,2,0,"No"
"211","20210902318400","19113",3389.8299,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"No"
"212","20210902318900","19163",2723.2758,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,2,0,"No"
"213","20210902320700","19113",2730.6341,2,35,0,0,0,NA,NA,0,70,NA,1,0,0,0,0,0,2,0,"No"
